Location	Estimate ($)	90% MOE	Base Population	Sample Size
United States	42,400	±  450	4,969,000	48,763
ALABAMA	40,400	±  2,840	94,000	915
ALASKA	46,800	±  6,290	12,000	107
ARIZONA	39,200	±  2,520	116,000	1,141
ARKANSAS	35,400	±  3,220	57,000	599
CALIFORNIA	48,500	±  1,830	440,000	4,390
COLORADO	47,500	±  3,690	88,000	843
CONNECTICUT	50,500	±  5,240	45,000	444
DELAWARE	50,500	±  8,440	19,000	148
DISTRICT OF COLUMBIA	60,600	± 14,840	10,000	95
FLORIDA	38,400	±  1,700	298,000	2,940
GEORGIA	40,400	±  2,360	170,000	1,681
HAWAII	50,500	±  7,220	20,000	188
IDAHO	40,400	±  4,820	31,000	301
ILLINOIS	43,900	±  2,170	174,000	1,699
INDIANA	40,400	±  2,330	116,000	1,184
IOWA	40,400	±  3,420	46,000	479
KANSAS	40,400	±  2,990	57,000	558
KENTUCKY	37,400	±  2,820	89,000	851
LOUISIANA	40,400	±  3,550	86,000	823
MAINE	39,800	±  6,530	19,000	191
MARYLAND	54,500	±  4,230	93,000	912
MASSACHUSETTS	52,500	±  3,890	82,000	804
MICHIGAN	40,400	±  2,230	147,000	1,486
MINNESOTA	48,500	±  3,190	78,000	780
MISSISSIPPI	32,300	±  3,650	50,000	532
MISSOURI	37,400	±  2,480	109,000	1,089
MONTANA	37,400	±  6,110	17,000	181
NEBRASKA	48,500	±  4,080	34,000	341
NEVADA	40,400	±  3,720	46,000	450
NEW HAMPSHIRE	51,500	±  8,620	23,000	221
NEW JERSEY	50,500	±  3,970	105,000	1,059
NEW MEXICO	38,800	±  4,410	39,000	320
NEW YORK	48,500	±  2,410	225,000	2,388
NORTH CAROLINA	38,400	±  2,040	161,000	1,555
NORTH DAKOTA	44,400	±  6,800	14,000	152
OHIO	40,400	±  1,800	194,000	1,888
OKLAHOMA	38,400	±  2,340	92,000	869
OREGON	40,400	±  3,300	74,000	691
PENNSYLVANIA	40,400	±  1,870	222,000	2,077
RHODE ISLAND	50,500	±  8,190	16,000	164
SOUTH CAROLINA	40,400	±  2,970	83,000	823
SOUTH DAKOTA	36,400	±  5,350	16,000	140
TENNESSEE	38,400	±  2,220	128,000	1,251
TEXAS	40,400	±  1,440	473,000	4,567
UTAH	40,800	±  4,430	45,000	445
VERMONT	42,400	±  6,350	12,000	101
VIRGINIA	46,500	±  3,230	145,000	1,355
WASHINGTON	50,500	±  2,970	129,000	1,222
WEST VIRGINIA	39,400	±  4,590	37,000	364
WISCONSIN	43,400	±  2,400	82,000	845
WYOMING	50,500	±  9,400	11,000	114
PUERTO RICO	21,200	±  2,490	43,000	395

